# q    Mrad_frac
5.051342468816765185e-01 3.903168347600541321e-02
5.004939102700954878e-01 3.881421822217831497e-02
4.958962013837214799e-01 3.859560175667567372e-02
4.913407286296362919e-01 3.837588520573802925e-02
4.868271040122282844e-01 3.815511934958266266e-02
4.823549431001469268e-01 3.793335460271179960e-02
4.779238649935598215e-01 3.771064099486778898e-02
4.735334922917117662e-01 3.748702815264209898e-02
4.691834510607797992e-01 3.726256528174005239e-02
4.648733708020257316e-01 3.703730114990477773e-02
4.606028844202402217e-01 3.681128407050394263e-02
4.563716281924760643e-01 3.658456188677788878e-02
4.521792417370701367e-01 3.635718195675210346e-02
4.480253679829491742e-01 3.612919113881148114e-02
4.439096531392169864e-01 3.590063577793685401e-02
4.398317466650225604e-01 3.567156169259959320e-02
4.357913012397029440e-01 3.544201416231303192e-02
4.317879727332023521e-01 3.521203791583701892e-02
4.278214201767616687e-01 3.498167712002924618e-02
4.238913057338780099e-01 3.475097536934086684e-02
4.199972946715305744e-01 3.451997567594872890e-02
4.161390553316708374e-01 3.428872046051907596e-02
4.123162591029752022e-01 3.405725154359373619e-02
4.085285803928563331e-01 3.382561013759413648e-02
4.047756965997322265e-01 3.359383683943178989e-02
4.010572880855498012e-01 3.336197162371917074e-02
3.973730381485608421e-01 3.313005383656928565e-02
3.937226329963480764e-01 3.289812218997738291e-02
3.901057617190993310e-01 3.266621475677013164e-02
3.865221162631263252e-01 3.243436896611726072e-02
3.829713914046281031e-01 3.220262159958935111e-02
3.794532847236940509e-01 3.197100878775472471e-02
3.759674965785467782e-01 3.173956600730008099e-02
3.725137300800211437e-01 3.150832807866720681e-02
3.690916910662778716e-01 3.127732916418907161e-02
3.657010880777492035e-01 3.104660276671552394e-02
3.623416323323150334e-01 3.081618172871642899e-02
3.590130377007070828e-01 3.058609823184681858e-02
3.557150206821386162e-01 3.035638379696237524e-02
3.524473003801586457e-01 3.012706928457433223e-02
3.492095984787271790e-01 2.989818489572542218e-02
3.460016392185110701e-01 2.966976017327866214e-02
3.428231493733971402e-01 2.944182400360176657e-02
3.396738582272208484e-01 2.921440461863611046e-02
3.365534975507094573e-01 2.898752959833529944e-02
3.334618015786364742e-01 2.876122587346060383e-02
3.303985069871858693e-01 2.853551972871912201e-02
3.273633528715246266e-01 2.831043680623153425e-02
3.243560807235812415e-01 2.808600210931672461e-02
3.213764344100277781e-01 2.786224000657782154e-02
3.184241601504653740e-01 2.763917423627986966e-02
3.154990064958087537e-01 2.741682791100188976e-02
3.126007243068704144e-01 2.719522352255339046e-02
3.097290667331409342e-01 2.697438294714189083e-02
3.068837891917642891e-01 2.675432745077713920e-02
3.040646493467067946e-01 2.653507769490190057e-02
3.012714070881165052e-01 2.631665374223487661e-02
2.985038245118731837e-01 2.609907506281445091e-02
